image1,image2,score
I0445_01_04.png,I0445_01_06.png,2.971684612
I0711_02_01.png,I0711_05_02.png,5.763053661
I0563_01_02.png,I0563_01_03.png,4.906183095
I0983_02_01.png,I0983_03_02.png,4.063034525
I0014_02_01.png,I0014_03_02.png,7.682336579
I0270_01_02.png,I0270_01_06.png,3.862865045
I0407_01_03.png,I0407_01_04.png,2.694093457
I0632_01_05.png,I0632_01_06.png,3.547457063
I0878_02_02.png,I0878_05_01.png,6.579530303
I0251_01_02.png,I0251_01_03.png,7.35047731
I0130_01_03.png,I0130_01_05.png,5.767010629
I0579_01_01.png,I0579_01_04.png,4.461203606
I0531_07_01.png,I0531_07_02.png,5.620039832
I0004_01_04.png,I0004_01_05.png,9.887302223
I0711_03_01.png,I0711_03_02.png,4.475774803
I0819_01_01.png,I0819_02_02.png,3.193944333
I0038_01_01.png,I0038_07_02.png,3.320140001
I0399_01_01.png,I0399_07_01.png,2.207011981
I0530_01_01.png,I0530_07_02.png,2.78005317
I0406_03_02.png,I0406_05_02.png,5.610024603
I0119_04_02.png,I0119_06_01.png,6.003597852
I0445_01_01.png,I0445_01_02.png,8.721086014
I0399_01_03.png,I0399_01_05.png,3.310242367
I0178_04_01.png,I0178_06_01.png,5.905692954
I0513_01_04.png,I0513_01_05.png,4.68480239
I0965_01_01.png,I0965_04_02.png,4.164185365
I0502_01_01.png,I0502_02_01.png,3.261676933
I0347_01_05.png,I0347_01_06.png,2.983524167
I0378_01_01.png,I0378_01_03.png,3.379797448
I0259_04_02.png,I0259_05_01.png,8.713069525
I0296_01_02.png,I0296_01_04.png,3.584916404
I0291_04_01.png,I0291_04_02.png,2.962208486
I0176_03_02.png,I0176_05_02.png,7.337332087
I0496_04_01.png,I0496_06_01.png,2.80198497
I0917_02_02.png,I0917_05_01.png,3.011422927
I0795_02_01.png,I0795_04_02.png,5.731609191
I0407_02_01.png,I0407_03_01.png,5.376410189
I0507_01_01.png,I0507_07_01.png,4.574172455
I0095_03_02.png,I0095_05_01.png,5.904443102
I0286_03_01.png,I0286_04_02.png,7.450414139
I0609_01_01.png,I0609_07_02.png,4.125819206
I0519_02_02.png,I0519_04_02.png,7.592639313
I0675_07_01.png,I0675_07_02.png,2.495282936
I0921_01_01.png,I0921_03_02.png,3.280231182
I0059_01_01.png,I0059_07_02.png,3.092834751
I0412_01_01.png,I0412_01_04.png,4.542278993
I0161_03_02.png,I0161_04_02.png,5.863613125
I0084_01_02.png,I0084_01_03.png,2.412439938
I0445_01_03.png,I0445_01_04.png,8.615631472
I0072_02_01.png,I0072_03_01.png,4.200175727
I0560_03_01.png,I0560_05_02.png,3.895105285
I0718_03_01.png,I0718_04_01.png,2.481258169
I0072_01_02.png,I0072_01_06.png,2.494007239
I0340_01_01.png,I0340_01_04.png,2.597354476
I0640_01_02.png,I0640_01_05.png,5.114379451
I0653_01_01.png,I0653_01_06.png,3.532133291
I0446_04_02.png,I0446_06_01.png,7.367599699
I0025_03_02.png,I0025_04_02.png,7.174144328
I0173_01_01.png,I0173_01_05.png,6.245017391
I0934_03_01.png,I0934_03_02.png,2.67324781
I0743_01_01.png,I0743_06_01.png,2.231058506
I0285_01_01.png,I0285_01_03.png,2.460299162
I0065_01_01.png,I0065_05_02.png,1.657401143
I0429_01_04.png,I0429_01_06.png,3.226375192
I0790_04_01.png,I0790_06_01.png,2.894059063
I0699_03_01.png,I0699_04_02.png,5.691480087
I0208_01_01.png,I0208_01_04.png,3.490925557
I0484_01_01.png,I0484_06_01.png,2.802028922
I0669_01_01.png,I0669_07_01.png,2.885980696
I0756_03_02.png,I0756_04_01.png,3.77632621
I0832_01_01.png,I0832_05_02.png,5.441597049
I0370_01_02.png,I0370_01_06.png,5.403644593
I0471_01_01.png,I0471_07_01.png,3.174723383
I0306_01_04.png,I0306_01_06.png,4.411419268
I0568_01_02.png,I0568_01_06.png,3.067584631
I0444_03_02.png,I0444_05_02.png,3.237700599
I0504_02_01.png,I0504_04_02.png,5.974236806
I0271_01_01.png,I0271_04_01.png,4.163714487
I0503_02_01.png,I0503_03_01.png,3.359471155
I0068_01_01.png,I0068_03_01.png,5.582243284
I0385_01_02.png,I0385_01_04.png,4.319831901
I0542_03_02.png,I0542_04_01.png,5.234145489
I0249_01_03.png,I0249_01_05.png,3.318237897
I0895_04_01.png,I0895_05_01.png,3.939178344
I1000_05_02.png,I1000_06_01.png,3.933239529
I0704_02_01.png,I0704_04_01.png,3.57829154
I0122_05_01.png,I0122_05_02.png,4.649025428
I0013_04_01.png,I0013_05_02.png,4.550010265
I0365_03_02.png,I0365_04_02.png,7.462782395
I0984_03_01.png,I0984_04_02.png,5.388513558
I0601_03_01.png,I0601_04_01.png,2.67926852
I0526_05_01.png,I0526_05_02.png,5.478867193
I0701_02_02.png,I0701_06_01.png,4.272180615
I0134_01_03.png,I0134_01_04.png,3.617683035
I0379_01_03.png,I0379_01_04.png,2.885866199
I0134_01_02.png,I0134_01_06.png,7.865702176
I0647_04_01.png,I0647_05_02.png,3.399939493
I0331_01_01.png,I0331_07_02.png,4.832353474
I0054_02_01.png,I0054_02_02.png,6.390656694
I0718_02_02.png,I0718_04_02.png,5.073522809
I0297_02_01.png,I0297_06_01.png,4.864838372
I0064_01_01.png,I0064_07_02.png,4.187649096
I0437_03_02.png,I0437_04_02.png,8.455300604
I0207_01_05.png,I0207_01_06.png,3.963668219
I0922_01_01.png,I0922_02_01.png,2.754063215
I0633_01_01.png,I0633_01_03.png,3.302352234
I0196_05_01.png,I0196_05_02.png,7.155308729
I0382_01_01.png,I0382_07_01.png,2.5774799
I0360_02_01.png,I0360_04_02.png,5.130559735
I0447_01_01.png,I0447_06_01.png,4.536038877
I0098_01_01.png,I0098_03_02.png,2.710234133
I0828_03_02.png,I0828_04_01.png,4.503669013
I0406_01_02.png,I0406_01_05.png,7.340742024
I0330_05_01.png,I0330_05_02.png,6.454746332
I0995_02_02.png,I0995_05_02.png,4.251246742
I0101_02_02.png,I0101_03_01.png,5.80272658
I0003_01_01.png,I0003_06_01.png,1.967520119
I0342_04_02.png,I0342_05_02.png,7.845808636
I0191_02_01.png,I0191_03_02.png,7.048160714
I0544_03_02.png,I0544_04_01.png,4.097783946
I0433_03_02.png,I0433_05_02.png,4.805365984
I0379_01_05.png,I0379_01_06.png,3.547880212
I0084_01_01.png,I0084_04_02.png,5.932905886
I0294_01_01.png,I0294_03_01.png,4.410155839
I0192_05_01.png,I0192_06_01.png,4.737075139
I0418_01_01.png,I0418_01_05.png,2.918975491
